Disease,Content
colitis,"Colitis is swelling (inflammation) of the large intestine (colon).CausesMost of the time, the cause of colitis is not known.Causes of colitis include:Infections caused by a virus or a parasiteFood poisoningdue to bacteriaCrohn diseaseUlcerative colitisLack of blood flow to the colon (ischemic colitis)Past radiation to the colon (radiation colitis and strictures)Necrotizing enterocolitisin newbornsPseudomembranous colitiscaused byClostridium difficileinfectionΓ‚Β (now calledClostridiodes difficile)SymptomsSymptoms can include:Abdominal painandbloatingΓ‚Β thatΓ‚Β may be constant or come and goBloody stoolsΓ‚Constant urge to have a bowel movement (tenesmus)DehydrationDiarrheaFeverExams and TestsThe health care provider will perform a physical exam. You will also be asked questions about your symptoms, such as:How long have you had the symptoms?How severe is your pain?How often do you have pain and how long does it last?How often do you have diarrhea?Have you traveled recently?Have you taken antibiotics recently?Your provider may recommend a flexiblesigmoidoscopyorcolonoscopy. During this test, a flexible tube is inserted through your rectum to examine your colon. You may have biopsies taken during this exam. Biopsies may show changes relate"
common cold,"The common cold most often causes a runny nose, nasal congestion, and sneezing. You may also have a sore throat, cough, headache, or other symptoms.CausesIt is called the common cold for good reason. There are overone billioncolds in the United States each year. You and your children will probably have more colds than any other type of illness.Colds are the most common reason that children miss school and parents miss work. Parents often get colds from their children.Children can get many colds every year. They usually get them from other children. A cold can spread quickly through schools or daycares.Colds can occur at any time of the year, but they are most common in the winter or rainy seasons.A cold virus spreads through tiny, air droplets that are released when the sick person sneezes, coughs, or blows their nose.You can catch a cold if:A person with a cold sneezes, coughs, or blows their nose near youYou touch your nose, eyes, or mouth after you have touched something contaminated by the virus, such as a toy or doorknobPeople are most contagious for the first 2 to 3 days of a cold. A cold is most often not contagious after the first week.SymptomsCold symptoms usually start about 2 or 3 days after you came in contact with the"
confusion,"Confusion is the inability to think as clearly or quickly as you normally do. You may feel disoriented and have difficulty paying attention, remembering, and making decisions.ConsiderationsConfusion may come on quickly or slowly over time, depending on the cause. Many times, confusion lasts for a short time and goes away. Other times, it is permanent and not curable. It may be associated with delirium or dementia.Confusion is more common in older people and often occurs during a hospital stay.Some confused people may have strange or unusual behavior or may act aggressively.CausesConfusion may be caused by different health problems, such as:Alcoholor drug intoxicationBrain tumorHead traumaorhead injury(concussion)FeverFluid and electrolyte imbalanceIllness in an older person, such as loss of brain function (dementia)Illness in a person with existing neurological disease, such as a strokeInfectionsLack of sleep (sleep deprivation)Low blood sugarLow levels of oxygen (for example, from chronic lung disorders)MedicinesNutritional deficiencies, especiallyniacin,thiamine, orvitamin B12SeizuresSudden drop in body temperature (hypothermia)Home CareA good way to find out if someone is confused is to ask the person his or her name, age, and "
coronary heart disease,"Coronary heart disease is a narrowing of the blood vessels that supply blood and oxygen to the heart. Coronary heart disease (CHD) is also called coronary artery disease.CausesCHD is the leading cause of death in the United States for men and women.CHD is caused by the buildup of plaque in the arteries to your heart. This may also be calledhardening of the arteriesor atherosclerosis.Fatty material and other substances form a plaque buildup on the walls of your coronary arteries. The coronary arteries bring blood and oxygen to your heart.This buildup causes the arteries to get narrow.As a result, blood flow to the heart can slow down or stop.Arisk factor for heart diseaseis something that increases your chance of getting it. You cannot change some risk factors for heart disease, but you can change others.SymptomsIn some cases, symptoms may be very noticeable. But, you can have the disease and not have any symptoms. This is more often true in the early stages of CHD.Chest painor discomfort (angina) is the most common symptom. You feel this pain when the heart is not getting enough blood or oxygen. The pain may feel different from person to person.It may feel heavy or like someone is squeezing your heart. You may feel it under your b"
deep vein thrombosis,"Deep vein thrombosis (DVT) is a condition that occurs when a blood clot forms in a vein deep inside a part of the body. DVT mainly affects the large veins in the lower leg and thigh, but can occur in other deep veins, such as in the arms and pelvis. DVT most often affects only one side of the body.CausesDVT is most common in adults over age 60. But it can occur at any age. When a clot breaks off and moves through the bloodstream, it is called an embolism. An embolism can get stuck in the blood vessels in the brain, lungs, heart, or another area, leading to severe damage.Blood clotsmay form when something slows or changes the flow of blood in the veins.Risk factors include:A pacemaker catheter that has been passed through a vein in the groinBed rest or sitting in one position for too long, such as plane or car travelFamily history of blood clotsFractures in the pelvis or legsGiving birth within the last 6 monthsPregnancyObesityRecent surgery (most commonly hip, knee, or female pelvic surgery)Too many blood cells being made by the bone marrow, causing the blood to be thicker than normal (polycythemia vera)Having an indwelling (long-term) catheter in a blood vesselAge greater than 60Blood is more likely to clot in someone who has cer"
dehydration,"Dehydration occurs when your body does not have as much water and fluids as it needs.Dehydration can be mild, moderate, or severe, based on how much of your body's fluid is lost or not replaced. Severe dehydration is a life-threatening emergency.CausesYou can become dehydrated if you lose too much fluid, do not drink enough water or fluids, or both.Your body may lose a lot of fluid from:Sweating too much, for example, from exercising in hot weatherFeverVomiting or diarrheaUrinating too much (uncontrolled diabetes or some medicines, like diuretics, can cause you to urinate a lot)You might not drink enough fluids because:You do not feel like eating or drinking because you are sickYou are nauseatedYou have asore throatormouth soresOlder adults and people with certain diseases, such as diabetes, are also at higher risk for dehydration.SymptomsSigns of mild to moderate dehydration include:ThirstDry or sticky mouthNot urinating muchDarker yellow urineDry, cool skinHeadacheMuscle crampsSigns of severe dehydration include:Not urinating, or very dark yellow or amber-colored urineDry, shriveled skinIrritability or confusionDizziness or lightheadednessRapid heartbeatRapid breathingSunken eyesListlessnessShock (not enough blood flow through t"
delirium,"Delirium is sudden severeconfusiondue to rapid changes in brain function that can occur with physical or mental illness.CausesDelirium is most often caused by physical or mental illness and is usually temporary and reversible. Many disorders may cause delirium. Often, these disorders do not allow the brain to get oxygen or other substances. They may also cause dangerous chemicals (toxins) to build up in the brain. Delirium is common in the intensive care unit (ICU), especially in older adults.Causes include:Alcohol or medicine overdose or withdrawalDrug use or overdose, including being sedated in the ICUElectrolyteor other body chemical disturbancesInfections such asurinary tract infections,pneumonia, or meningitisSevere lack of sleepPoisonsGeneral anesthesia and surgeryAutoimmune diseaseSymptomsDelirium involves a quick change between mental states (for example, fromlethargytoagitationand back to lethargy).Symptoms include:Changes in alertness(usually more alert in the morning, less alert at night)Changes in feeling (sensation) and perceptionChanges in level of consciousness or awarenessChanges in movement (for example, may be slow moving or hyperactive)Changes in sleep patterns,drowsinessConfusion (disorientation) about time or "
dementia,"Dementia is a loss of brain function that occurs with certain diseases. It affects one or more brain functions such as memory, thinking, language, judgment, or behavior. Dementia may also be referred to as majorneurocognitive disorder.CausesDementia usually occurs in older age. Most types are rare in people under age 60. The risk of dementia increases as a person gets older.Most types of dementia are nonreversible and degenerative. Nonreversible means the changes in the brain that are causing the dementia cannot be stopped or turned back.Alzheimer diseaseis the most common type of dementia.Another common type of dementia isvascular dementia. It is caused by poor blood flow to the brain, such as with stroke.Lewy body disease is another cause of dementia in older adults. People with this condition have abnormal protein structures in certain areas of the brain. Any condition that results in injury to the brain can cause dementia.The following medical conditions can also lead to dementia:Huntington diseaseBrain injuryFrontotemporal degeneration(Pick disease)Multiple sclerosisInfections such asHIV/AIDS,syphilis, andLyme diseaseParkinson diseaseProgressive supranuclear palsyExcess alcohol useBrain traumaSome causes of dementia, such as "
diabetes,"Diabetes is a long-term (chronic) disease in which the body cannot regulate the amount of sugar in the blood.CausesInsulin is a hormone produced by the pancreas to control blood sugar. Diabetes can be caused by too little insulin, resistance to the action of insulin, or both.To understand diabetes, it is important to first understand the normal process by which food is broken down and used by the body for energy. Several things happen when food is digested and absorbed:A sugar called glucose enters the bloodstream. Glucose is a source of fuel for the body.An organ in the upper abdomen, below and behind the stomach, called the pancreas makes insulin. The role of insulin is to move glucose from the bloodstream into muscle, fat, and other cells, where it can be stored or used as fuel.People with diabetes have high blood sugar because their body cannot move sugar from the blood into muscle and fat cells to be burned or stored for energy, and/or because their liver makes too much glucose and releases it into the blood. This is because either:Their pancreas does not make enough insulinTheir cells do not respond to insulin normally (also called insulin resistance)Both of the aboveThere are two major types of diabetes. The causes and risk"
diverticulitis,"Diverticula are small, bulging sacs or pouches that form on the inner wall of the intestine. Diverticulitis occurs when these pouches become inflamed or infected. Most often, these pouches are in the lower part of the large intestine (colon).CausesThe formation of pouches or sacs on the intestinal lining is called diverticulosis. It is found in more than half of Americans over age 60. However, no one knows exactly what causes the pouches to form.Eating a low-fiber diet mostly made up of processed foods may be a cause. Constipation and hard stools are more likely when you do not eat enough fiber. Straining to pass stools increases the pressure in the colon or intestines, which may lead to the formation of these pouches.In some cases, one of the pouches can become inflamed and a small tear develops in the lining of the intestine. This can lead to an infection at the site. When this occurs, the condition is called diverticulitis. The cause of diverticulitis is not known.SymptomsPeople withdiverticulosisoften have no symptoms, but they may have bloating and cramping in the lower part of the belly. Rarely, they may notice blood in their stool or on toilet paper.Symptoms of diverticulitis are more severe and often start suddenly, but th"
diverticulosis,"Diverticulosis occurs when small, bulging sacs or pouches form on the inner wall of the intestine. These sacs are called diverticula. Most often, these pouches form in the large intestine (colon). They may also occur in the jejunum in the small intestine, although this is less common.CausesDiverticulosis is less common in people age 40 and younger. It's more common in older adults. About half of Americans over age 60 have this condition. Most people will have it by age 80.No one knows exactly what causes these pouches to form.For many years, it was thought that eating a low-fiber diet may play a role. Not eating enough fiber can cause constipation (hard stools). Straining to pass stools (feces) increases the pressure in the colon or intestines. This may cause the pouches to form at weak spots in the colon wall. However, whether a low-fiber diet leads to this problem is not well proven.Other possible risk factors that are also not well proven are lack of exercise and obesity.Eating nuts, popcorn, or corn does not appear to lead to inflammation of these pouches (diverticulitis).SymptomsMost people with diverticulosis have no symptoms.When symptoms occur, they may include:Pain and cramps in your stomach especially in the left lower a"
endocarditis,"Endocarditis is inflammation of the inside lining of the heart chambers and heart valves (endocardium). It is caused by a bacterial or, rarely, a fungal infection.CausesEndocarditis can involve the heart muscle, heart valves, or lining of the heart. Some people who develop endocarditis have a:Birth defect of the heartDamaged or abnormal heart valveHistory of endocarditisNew heart valve after surgeryParenteral (intravenous) drug use disorder or addictionLong-term intravenous line in placeEndocarditis begins when germs enter the bloodstream and then travel to the heart.Bacterial infection is the most common cause of endocarditis.Endocarditis can also be caused by fungi, such as Candida.In some cases, no cause can be found.Germs are most likely to enter the bloodstream during:Central venous access linesInjection drug use, from the use of unclean (unsterile) needlesRecent dental surgeryOther surgeries or minor procedures to the breathing tract, urinary tract, infected skin, or bones and musclesSymptomsSymptoms of endocarditis may develop slowly or suddenly.Fever,chills, andsweatingare frequent symptoms. These sometimes can:Be present for days before any other symptoms appearCome and go, or be more noticeable at nighttimeYou may also h"
epilepsy,"Epilepsy is a brain disorder in which a person has repeatedseizuresover time. Seizures are episodes of uncontrolled and abnormal electrical activity of brain cells that may cause changes in attention or behavior such as bodily movements.CausesEpilepsy occurs when changes in the brain cause it to be too excitable or irritable. As a result, the brain cells send out abnormal electrical signals. This leads to repeated, unpredictable seizures. (A single seizure that does not happen again is not epilepsy.)Epilepsy may be due to a medical condition or injury that affects the brain. Or, the cause may be unknown (idiopathic).Common causes of epilepsy include:Strokeortransient ischemic attack(TIA)Dementia, such as Alzheimer diseaseTraumatic brain injuryInfections, includingbrain abscess,meningitis,encephalitis, andHIV/AIDSBrain problems that are present at birth (congenital brain defect)Brain injury that occurs during or near birthMetabolism disorders present at birth (such asphenylketonuria)Brain tumorAbnormal blood vessels in the brainOther illness that damages or destroys brain tissueSeizure disorders that run in families (hereditary epilepsy)Epileptic seizures can happen to anyone at any age. However, they're more common in young childr"
gastritis,"Gastritis occurs when the lining of the stomach becomes inflamed or swollen.Gastritis may last for only a short time (acute gastritis) or it may linger for months to years (chronic gastritis).CausesThe most common causes of gastritis are:Certain medicines, such as aspirin, ibuprofen, or naproxen and other similar drugsHeavy alcohol drinkingInfection of the stomach with a bacteria calledHelicobacter pyloriLess common causes are:Autoimmune disorders (such as pernicious anemia)Backflow of bile into the stomach (bile reflux)Cocaine useEating or drinking caustic or corrosive substances (such as poisons)Extreme stressViral infection, such as cytomegalovirus and herpes simplex virus (more often occurs in people with a weak immune system)Trauma or a severe, sudden illness such as major surgery, kidney failure, or being placed on a breathing machine may cause gastritis.SymptomsMany people with gastritis do not have any symptoms.Symptoms you may notice are:Loss of appetiteNausea and vomitingPain in the upper part of the belly or abdomenIf gastritis is causing bleeding from the lining of the stomach, symptoms may include:Black stoolsVomiting bloodor coffee-ground-like materialExams and TestsTests that may be needed are:Complete blood count(C"
gastroesophageal reflux disease,"Gastroesophageal reflux disease (GERD) is a condition in which the stomach contents leak backward from the stomach into the esophagus (food pipe). Food travels from your mouth to the stomach through your esophagus. GERD can irritate the food pipe and cause heartburn and other symptoms.CausesWhen you eat, food passes from the throat to the stomach through the esophagus. A ring of muscle fibers in the lower esophagus prevents swallowed food from moving back up. These muscle fibers are called the lower esophageal sphincter (LES).When this ring of muscle does not close all the way, stomach contents can leak back into the esophagus. This is called reflux or gastroesophageal reflux. Reflux may cause symptoms. Harsh stomach acids can also damage the lining of the esophagus.The risk factors for reflux include:Use of alcohol (possibly)Hiatal hernia(a condition in which part of the stomach moves above the diaphragm, which is the muscle that separates the chest and abdominal cavities)ObesityPregnancySclerodermaSmoking or tobacco useLying down within 3 hours after eatingHeartburn and gastroesophageal reflux can be caused by or made worse by pregnancy. Symptoms can also be caused by certain medicines, such as:Anticholinergics (for example, sea"
glaucoma,"Glaucoma is a group of eye conditions that can damage the optic nerve. This nerve sends the images you see to your brain.Most often, optic nerve damage is caused by increased pressure in the eye. This is called intraocular pressure.CausesGlaucoma is the second most common cause of blindness in the United States. There are four major types of glaucoma:Open-angle glaucomaAngle-closure glaucoma, also called closed-angle glaucomaCongenital glaucomaSecondary glaucomaThe front part of the eye is filled with a clear fluid called aqueous humor. This fluid is made in an area behind the colored part of the eye (iris). It leaves the eye through channels where the iris and cornea meet. This area is called the anterior chamber angle, or the angle. The cornea is the clear covering on the front of the eye that is in front of the iris, pupil, and angle.Anything that slows or blocks the flow of this fluid will cause pressure to build up in the eye.In open-angle glaucoma, the increase in pressure is often small and slow.In closed-angle glaucoma, the increase is often high and sudden.Either type can damage the optic nerve.Open-angle glaucomais the most common type of glaucoma.The cause is unknown. The increase in eye pressure happens slowly over tim"
gout,"Gout is a type of arthritis. It occurs whenuric acidbuilds up in the blood and causes inflammation in the joints.Acute gout is a painful condition that often affects only one joint. Chronic gout is the repeated episodes of pain and inflammation. More than one joint may be affected.Watch this video about:GoutCausesGout is caused by having higher-than-normal level of uric acid in your body. This may occur if:Your body makes too much uric acidYour body has a hard time getting rid of uric acidWhen uric acid builds up in the fluid around the joints (synovial fluid), uric acid crystals form. These crystals cause the joint to become inflamed, causing pain, swelling and warmth.The exact cause is unknown. Gout may run in families. The problem is more common in men, in women after menopause, and people who drink alcohol. As people become older, gout becomes more common.The condition may also develop in people with:DiabetesKidney diseaseObesitySickle cell anemiaand otheranemiasLeukemiaand other blood cancersGout may occur after taking medicines that interfere with the removal of uric acid from the body. People who take certain medicines, such as hydrochlorothiazide and other water pills, may have a higher level of uric acid in the blood.Symp"
heart attack,"Most heart attacks are caused by a blood clot that blocks one of the coronary arteries. The coronary arteries bring blood and oxygen to the heart. If the blood flow is blocked, the heart is starved of oxygen and heart cells die.The medical term for this is myocardial infarction.CausesA substance called plaque can build up in the walls of your coronary arteries. This plaque is made up of cholesterol and other cells.A heart attack may occur when:A disruption in the plaque occurs. This triggers blood platelets and other substances to form a blood clot at the site that blocks most or all of the oxygen-carrying blood from flowing to a part of the heart muscle. This is the most common cause of heart attack.The cause of heart attack is not always known, but there are well known risk factors.Heart attack may occur:When you are resting or asleepAfter a sudden increase in physical activityWhen you are active outside in cold weatherAfter sudden, severe emotional or physical stress, including an illnessManyrisk factors may lead to the development of plaque buildup and a heart attack.SymptomsA heart attack is a medical emergency. If you have symptoms of a heart attack, call 911 or your local emergency number right away.DO NOT try to drive your"
hemorrhoids,"Hemorrhoids are swollen veins in the anus or lower part of the rectum.CausesHemorrhoids are very common. They result from increased pressure on the anus. This can occur during pregnancy or childbirth, and due to constipation. The pressure causes the normal anal veins and tissue to swell. This tissue can bleed, often during bowel movements.Hemorrhoids may be caused by:Straining during bowel movementsConstipationSitting for long periods of time, especially on the toiletCertain diseases, such ascirrhosisHemorrhoids may be inside or outside the body.Internal hemorrhoids occur just inside the anus, at the beginning of the rectum. When they are large, they may fall outside (prolapse). The most common problem with internal hemorrhoids is bleeding during bowel movements.External hemorrhoids occur outside the anus. They can result in difficulty cleaning the area after a bowel movement. If a blood clot forms in an external hemorrhoid, it can be very painful (thrombosed external hemorrhoid).SymptomsHemorrhoids are most often not painful, but if a blood clot forms, they can be very painful.Common symptoms include:Painless bright red blood from the rectumAnal itchingAnal ache or pain, especially while sittingPain during bowel movementsOne or m"
hepatitis,"Hepatitis is swelling and inflammation of the liver.CausesHepatitis can be caused by:Immune cells in the body attacking the liver(autoimmune hepatitis)Infections from viruses (such as hepatitis A, hepatitis B, or hepatitis C), bacteria, or parasitesLiver damage from alcohol or poisonMedicines, such as an overdose of acetaminophenFatty liverLiver disease can also be caused by inherited disorders such as cystic fibrosis or hemochromatosis, a condition that involves having too much iron in your body.Other causes include Wilson disease, a disorder in which the body retains too much copper and ingestion of toxic mushrooms.SymptomsHepatitis may start and get better quickly. It may also become a long-term condition. In some cases, hepatitis may lead to liver damage, liver failure, cirrhosis, liver cancer or even death.There are several factors that can affect how severe the condition is. These may include the cause of the liver damage and any illnesses you have. Hepatitis A, for example, is most often short-term and does not lead to chronic liver problems.The symptoms of hepatitis include:Pain or bloating in the belly areaDark urine and pale or clay-colored stoolsFatigueLow grade feverItchingJaundice (yellowing of the skin or eyes)Loss o"
hepatitis a,"Hepatitis A is inflammation (irritation and swelling) of the liver from the hepatitis A virus.CausesThe hepatitis A virus is found mostly in the stool and blood of an infected person. The virus is present about 15 to 45 days before symptoms occur and during the first week of illness.You can catch hepatitis A if:You eat or drink food or water that has been contaminated by stools (feces) containing the hepatitis A virus. Unpeeled and uncooked fruits and vegetables, shellfish, ice, and water are common sources of the disease.You come in contact with the stool or blood of a person who currently has the disease.A person with hepatitis A passes the virus to an object or food due to poor hand-washing after using the toilet.You take part in sexual practices that involve oral-anal contact.Not everyone has symptoms with hepatitis A infection. Therefore, many more people are infected than are diagnosed or reported.Risk factors include:Overseas travel, especially to Asia, South or Central America, Africa and the Middle EastInjection drug useLiving in a nursing homeWorking in a health care, food, or sewage industryEating raw shellfish such as oysters and clamsOther common hepatitis virus infections include hepatitis B and hepatitis C. Hepatiti"
